genre,n_test,rmse,mae,mean_popularity,top_feature
metal,46,26.365752275753604,23.520570755004883,56.76086956521739,instrumentalness
edm,139,30.33486711026861,28.198055267333984,41.589928057553955,valence
pop,83,33.81084828740714,32.168270111083984,41.144578313253014,valence
hip-hop,168,28.95853168959344,27.413578033447266,40.98809523809524,danceability
acoustic,200,18.482446539301147,15.705723762512207,40.915,valence
classical,173,19.95477981097981,17.2436466217041,11.901734104046243,acousticness
